0," 5427 Us Highway 158 Advance, NC",$2.10 ,Speedway #7918,-80.43367099,36.00600752
1," 258 Nc Highway 801 N Advance, NC",$2.10 ,Lowes Foods #1205,-80.44324702,36.01052979
2," 286 Nc Hwy 801 N Advance, NC",$2.10 ,Sheetz #594,-80.4448732,36.00969264
3," 305 Farmington Rd Mocksville, NC",$2.20 ,Farmington Shell,-80.53339639,35.9584922
4," 2500 Lewisville Clemmons Rd Clemmons, NC",$2.49 ,Bp,-80.38263344,36.03023314
5," 2471 Lewisville Clemmons Rd Clemmons, NC",$2.09 ,Circle K #3160,-80.3827395,36.03087068
6," 2410 Lewisville Clemmons Rd Clemmons, NC",$2.76 ,Four Brothers #212,-80.38399012,36.03358754
7," 2420 Lewisville Clemmons Rd Clemmons, NC",$2.09 ,Speedway #6938,-80.38363766,36.03270939
8," 2397 Lewisville Clemmons Rd Clemmons, NC",$2.78 ,Interstate Shell,-80.38529085,36.03610393
9," 2375 Lewisville Clemmons Rd Clemmons, NC",$2.42 ,7-eleven #36069,-80.38551697,36.03718438
10," 1465 River Ridge Rd Clemmons, NC",$2.04 ,Quality Mart #42,-80.37500243,35.96119926
11," 1415 Lewisville Clemmons Rd Clemmons, NC",$2.05 ,Circle K,-80.38941918,36.07574956
12," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.6601645,36.12049323
13," 3470 Parway Village Cr Winston Salem, NC",$2.08 ,Murphy Usa #7420,-80.26300753,36.02850591
14," 2265 Old Salisbury Rd Winston Salem, NC",$2.08 ,Salisbury Rd Quality Plus,-80.27210354,36.03763078
15," 106 Hickory Tree Rd Winston Salem, NC",$2.08 ,Circle K #3205,-80.22317327,35.96749828
16," 12290 N Nc Highway 150 Winston Salem, NC",$2.08 ,Sheetz #411,-80.26785051,35.99481839
17," 3407 Old Lexington Rd Winston Salem, NC",$2.09 ,By Lo #05,-80.22518732,36.05292375
18," 2471 Lewisville Clemmons Rd Clemmons, NC",$2.09 ,Circle K #3160,-80.3827395,36.03087068
19," 3715 Peters Creek Pkwy Winston Salem, NC",$2.09 ,Speedway #6930,-80.26077691,36.02005144
20," 3230 Cook School Rd Pilot Mountain, NC",$2.09 ,Blue Mountain Petro,-80.49852246,36.41005027
21," 3175 Cook School Rd Pilot Mountain, NC",$2.09 ,Gas And Go,-80.4984467,36.41123679
22," 2905 Rockford St Mount Airy, NC",$2.22 ,Sheetz #490,-80.63758461,36.45952601
23," 287 Holly Springs Rd Mount Airy, NC",$2.17 ,Four Brothers #102,-80.55915352,36.46151558
24," 818 S Key St Pilot Mountain, NC",$2.10 ,Speedway #6948,-80.48906998,36.37505396
25," 805 S Key St Pilot Mountain, NC",$2.10 ,Circle K,-80.4878415,36.37561691
26," 2227 Rockford St Mount Airy, NC",$2.22 ,Circle K,-80.62055617,36.47394133
27," 912 E Atkins St Dobson, NC",$2.26 ,Speedway #6951,-80.70746419,36.39211387
28," 1012 Rockford St Mount Airy, NC",$2.22 ,Speedway #6949,-80.61182049,36.48628317
29," 1645 S Main St Mount Airy, NC",$2.48 ,Neighbors #11,-80.59247963,36.48773193
30," 14314 Fancy Gap Hwy Cana, VA",$2.00 ,Nexstop,-80.66351075,36.58534421
31," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.6601645,36.12049323
32," 3175 Cook School Rd Pilot Mountain, NC",$2.09 ,Gas And Go,-80.4984467,36.41123679
33," 3230 Cook School Rd Pilot Mountain, NC",$2.09 ,Blue Mountain Petro,-80.49852246,36.41005027
34," 818 S Key St Pilot Mountain, NC",$2.10 ,Speedway #6948,-80.48906998,36.37505396
35," 1681 Us Highway 21 Thurmond, NC",$2.10 ,Foot Hills Grocery,-80.91983842,36.36275408
36," 805 S Key St Pilot Mountain, NC",$2.10 ,Circle K,-80.4878415,36.37561691
37," 805 S State St Yadkinville, NC",$2.10 ,Sheetz #510,-80.66010622,36.12034871
38," 401 Cc Camp Rd Elkin, NC",$2.12 ,Sheetz #535,-80.85332689,36.27004028
39," 104 Nc 67 Hwy East Bend, NC",$2.13 ,Speedway #6947,-80.50725171,36.21517896
40," 324 S 2nd St Stockton, KS",$2.15 ,J Mart,-99.2761821,39.4344486
41," 105 N Washington St Plainville, KS",$2.04 ,Cenex,-99.29827852,39.2345482
42," 101 S Washington St Plainville, KS",$2.04 ,Alta Convenience #6211,-99.29828371,39.2343308
43," 601 S Washington St Plainville, KS",$2.04 ,Plainville Short Sto,-99.29832158,39.22911459
44," 601 S Washington St Plainville, KS",$2.04 ,Plainville Short Sto,-99.29832158,39.22911459
45," 105 N Washington St Plainville, KS",$2.04 ,Cenex,-99.29827852,39.2345482
46," 324 S 2nd St Stockton, KS",$2.15 ,J Mart,-99.2761821,39.4344486
47," 204 S Cedar St Stockton, KS",$2.15 ,Alta Convenience #6215,-99.27510545,39.43540501
48," 7700 Nc Highway 68 N Stokesdale, NC",$2.89 ,Pick N Go #2,-79.98979649,36.21279686
49," 111 S Main St Walnut Cove, NC",$2.60 ,Neighbors #24,-80.14116749,36.29220432
50," 7915 Nc Highway 68 N Stokesdale, NC",$2.26 ,Times Turn Around #24,-79.9796723,36.23701164
51," 5115 Us Highway 311 Walkertown, NC",$2.19 ,Four Brothers #217,-80.15287592,36.1764152
52," 5198 Reidsville Rd Walkertown, NC",$2.20 ,Sheetz #355,-80.13751937,36.16464948
53," 5140 Nc 89 Hwy E Walnut Cove, NC",$2.16 ,Speedway #6946,-80.1392815,36.31281397
54," 1690 Nc Highway 68 N Oak Ridge, NC",$2.20 ,Quality Mart #49,-79.98844527,36.17239911
55," 743 Piney Grove Rd Kernersville, NC",$2.20 ,Quality Mart #41,-80.06963985,36.13815456
56," 4990 Reidsville Rd Walkertown, NC",$2.20 ,Texas Quick Mart,-80.14683897,36.15545924
57," 2010 W Mountain St Kernersville, NC",$2.20 ,Circle K,-80.11826824,36.13401459
58," 2726 N Main St High Point, NC",$2.05 ,Murphy Usa #7500,-80.03164694,35.99479042
59," 802 Westchester Dr High Point, NC",$2.06 ,Sheetz #538,-80.03380435,35.97410103
60," 2201 N Main St High Point, NC",$2.06 ,Speedway #6952,-80.02377843,35.98397427
61," 3350 North Main St High Point, NC",$2.06 ,Sheetz #571,-80.03842336,36.00440607
62," 3030 N Main St High Point, NC",$2.06 ,Speedway #6953,-80.03579974,36.00039081
63," 2907 N Main St High Point, NC",$2.06 ,Raceway #6742,-80.032964,35.99621121
64," 3470 Parway Village Cr Winston Salem, NC",$2.08 ,Murphy Usa #7420,-80.26300753,36.02850591
65," 2265 Old Salisbury Rd Winston Salem, NC",$2.08 ,Salisbury Rd Quality Plus,-80.27210354,36.03763078
66," 12290 N Nc Highway 150 Winston Salem, NC",$2.08 ,Sheetz #411,-80.26785051,35.99481839
67," 3407 Old Lexington Rd Winston Salem, NC",$2.09 ,By Lo #05,-80.22518732,36.05292375
68," 3836 Reynolda Rd Winston Salem, NC",$2.55 ,Family Fare #398,-80.32806431,36.16351541
69," 4575 Yadkinville Rd Pfafftown, NC",$2.15 ,Four Brothers #214,-80.35730406,36.1534079
70," 3598 Yadkinville Rd Winston Salem, NC",$2.45 ,Speedway #8203,-80.31730877,36.15381351
71," 1065 Bethania Rural Hall Rd Rural Hall, NC",$2.17 ,Circle K,-80.30240276,36.21201444
72," 6116 University Pkwy Winston Salem, NC",$2.13 ,Le Seul Valero,-80.27872261,36.19320039
73," 2801 Reynolda Rd Winston Salem, NC",$2.20 ,Quality Mart #29,-80.29841663,36.14314072
74," 6205 University Pkwy Winston Salem, NC",$2.13 ,Speedway #6935,-80.27866666,36.19670515
75," 5981 University Pkwy Winston Salem, NC",$2.16 ,Circle K,-80.2764708,36.18826436
76," 5434 University Pkwy Winston Salem, NC",$2.17 ,Speedway #6927,-80.27717362,36.16931511
77," 5916 University Pkwy Winston Salem, NC",$2.17 ,7-eleven #36070,-80.27517939,36.18528642
78," 1465 River Ridge Rd Clemmons, NC",$2.04 ,Quality Mart #42,-80.37500243,35.96119926
79," 1415 Lewisville Clemmons Rd Clemmons, NC",$2.05 ,Circle K,-80.38941918,36.07574956
80," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.6601645,36.12049323
81," 3470 Parway Village Cr Winston Salem, NC",$2.08 ,Murphy Usa #7420,-80.26300753,36.02850591
82," 2265 Old Salisbury Rd Winston Salem, NC",$2.08 ,Salisbury Rd Quality Plus,-80.27210354,36.03763078
83," 106 Hickory Tree Rd Winston Salem, NC",$2.08 ,Circle K #3205,-80.22317327,35.96749828
84," 12290 N Nc Highway 150 Winston Salem, NC",$2.08 ,Sheetz #411,-80.26785051,35.99481839
85," 3175 Cook School Rd Pilot Mountain, NC",$2.09 ,Gas And Go,-80.4984467,36.41123679
86," 3230 Cook School Rd Pilot Mountain, NC",$2.09 ,Blue Mountain Petro,-80.49852246,36.41005027
87," 3407 Old Lexington Rd Winston Salem, NC",$2.09 ,By Lo #05,-80.22518732,36.05292375
